# VRP Sample Data — City Delivery Network
# Depot is id=0. All coordinates in km. Demand in units.
id,x,y,demand,label
0,50.0,50.0,0.0,Central Depot
1,12.5,78.3,18.0,Northside Mall
2,25.0,91.0,12.5,Airport Cargo
3,40.0,82.0,22.0,University District
4,68.0,88.5,15.0,Eastbrook Center
5,85.0,72.0,20.0,Tech Park
6,92.0,50.0,10.0,Harbor Terminal
7,88.0,28.0,25.0,Industrial Zone
8,72.0,12.0,17.0,South Factory
9,55.0,8.0,14.0,Riverside Depot
10,35.0,15.0,19.0,Westside Garage
11,18.0,30.0,11.0,Old Town
12,8.0,52.0,23.0,Northwest Hub
13,15.0,65.0,16.0,Greenfield Park
14,30.0,50.0,9.0,City Center
15,60.0,55.0,13.0,Business District
